Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,
MEDIUM,Reverse Integer,60.7,0.298643124,https://leetcode.com/problems/reverse-integer,Math,
MEDIUM,Jump Game,59.8,0.391136222,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy",
MEDIUM,Generate Parentheses,59.3,0.765298289,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking",
MEDIUM,Minimum Path Sum,59.3,0.658477818,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix",
MEDIUM,Next Permutation,58.9,0.423240509,https://leetcode.com/problems/next-permutation,"Array, Two Pointers",
MEDIUM,Binary Tree Zigzag Level Order Traversal,58.4,0.610093208,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree",
EASY,Remove Element,57.9,0.594380162,https://leetcode.com/problems/remove-element,"Array, Two Pointers",
MEDIUM,Validate Binary Search Tree,56.8,0.339804079,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",
HARD,First Missing Positive,56.2,0.406343077,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table",
MEDIUM,String to Integer (atoi),56.2,0.187171372,https://leetcode.com/problems/string-to-integer-atoi,String,
EASY,Find the Index of the First Occurrence in a String,55.7,0.444635846,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching",
MEDIUM,Swap Nodes in Pairs,55.1,0.665142428,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion",
HARD,Largest Rectangle in Histogram,55.1,0.46599453,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack",
MEDIUM,Permutations,54.5,0.801398865,https://leetcode.com/problems/permutations,"Array, Backtracking",
HARD,Regular Expression Matching,53.9,0.289718826,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion",
MEDIUM,Simplify Path,52.5,0.465959087,https://leetcode.com/problems/simplify-path,"String, Stack",
MEDIUM,Find First and Last Position of Element in Sorted Array,52.5,0.461496743,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search",
MEDIUM,Valid Sudoku,51.8,0.616526138,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix",
MEDIUM,Remove Nth Node From End of List,51.8,0.481054147,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers",
MEDIUM,Combination Sum,51.8,0.739312872,https://leetcode.com/problems/combination-sum,"Array, Backtracking",
EASY,Binary Tree Inorder Traversal,51.1,0.780094783,https://leetcode.com/problems/binary-tree-inorder-traversal,"Stack, Tree, Depth-First Search, Binary Tree",
MEDIUM,4Sum,50.4,0.376016154,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting",
MEDIUM,Binary Tree Level Order Traversal,50.4,0.698201255,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree",
EASY,Search Insert Position,49.6,0.483383744,https://leetcode.com/problems/search-insert-position,"Array, Binary Search",
MEDIUM,Divide Two Integers,49.6,0.181459966,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation",
MEDIUM,Jump Game II,49.6,0.411384598,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy",
MEDIUM,Decode Ways,49.6,0.361050045,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming",
MEDIUM,Unique Paths,49.6,0.654033483,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics",
MEDIUM,Integer to Roman,48.8,0.678581451,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String",
MEDIUM,Search a 2D Matrix,48.8,0.517772086,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix",
MEDIUM,Edit Distance,48.8,0.581899903,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming",
MEDIUM,"Pow(x, n)",47.9,0.36477419,https://leetcode.com/problems/powx-n,"Math, Recursion",
HARD,Sudoku Solver,47.9,0.636724036,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix",
MEDIUM,Subsets,47.9,0.8025895,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation",
HARD,N-Queens,47,0.716691269,https://leetcode.com/problems/n-queens,"Array, Backtracking",
EASY,Sqrt(x),45.1,0.400270708,https://leetcode.com/problems/sqrtx,"Math, Binary Search",
MEDIUM,Restore IP Addresses,45.1,0.523831931,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking",
MEDIUM,Reverse Linked List II,45.1,0.491013992,https://leetcode.com/problems/reverse-linked-list-ii,Linked List,
HARD,Maximal Rectangle,45.1,0.528877139,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack",
MEDIUM,Zigzag Conversion,44,0.507912379,https://leetcode.com/problems/zigzag-conversion,String,
EASY,Symmetric Tree,44,0.586338342,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",
HARD,Longest Valid Parentheses,44,0.356944642,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack",
EASY,Add Binary,42.9,0.551921295,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation",
MEDIUM,Permutations II,42.9,0.609958314,https://leetcode.com/problems/permutations-ii,"Array, Backtracking, Sorting",
EASY,Plus One,41.7,0.470464277,https://leetcode.com/problems/plus-one,"Array, Math",
MEDIUM,Remove Duplicates from Sorted Array II,39.1,0.621520111,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,"Array, Two Pointers",
HARD,Minimum Window Substring,39.1,0.446649597,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window",
MEDIUM,Search in Rotated Sorted Array II,39.1,0.385897065,https://leetcode.com/problems/search-in-rotated-sorted-array-ii,"Array, Binary Search",
EASY,Remove Duplicates from Sorted List,37.7,0.54359761,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Linked List,
MEDIUM,Multiply Strings,37.7,0.418302604,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation",
HARD,Wildcard Matching,36.1,0.293644876,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion",
MEDIUM,Subsets II,36.1,0.589059278,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation",
HARD,Text Justification,36.1,0.470932966,https://leetcode.com/problems/text-justification,"Array, String, Simulation",
MEDIUM,Rotate List,36.1,0.394025418,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers",
MEDIUM,Combinations,36.1,0.722862527,https://leetcode.com/problems/combinations,Backtracking,
MEDIUM,Insert Interval,34.3,0.429441886,https://leetcode.com/problems/insert-interval,Array,
MEDIUM,Recover Binary Search Tree,34.3,0.555123723,https://leetcode.com/problems/recover-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",
EASY,Length of Last Word,34.3,0.554460251,https://leetcode.com/problems/length-of-last-word,String,
MEDIUM,Spiral Matrix II,34.3,0.729407452,https://leetcode.com/problems/spiral-matrix-ii,"Array, Matrix, Simulation",
EASY,Same Tree,34.3,0.644381734,https://leetcode.com/problems/same-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",
MEDIUM,Combination Sum II,32.4,0.57210078,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking",
MEDIUM,Count and Say,32.4,0.578970392,https://leetcode.com/problems/count-and-say,String,
MEDIUM,Remove Duplicates from Sorted List II,32.4,0.492636697,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,"Linked List, Two Pointers",
MEDIUM,3Sum Closest,32.4,0.465982478,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting",
MEDIUM,Interleaving String,32.4,0.413953566,https://leetcode.com/problems/interleaving-string,"String, Dynamic Programming",
EASY,Maximum Depth of Binary Tree,30.3,0.767547225,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",
HARD,Substring with Concatenation of All Words,30.3,0.32792399,https://leetcode.com/problems/substring-with-concatenation-of-all-words,"Hash Table, String, Sliding Window",
MEDIUM,Partition List,30.3,0.583274136,https://leetcode.com/problems/partition-list,"Linked List, Two Pointers",
MEDIUM,Unique Paths II,28,0.427592717,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix",
HARD,N-Queens II,25.3,0.760118753,https://leetcode.com/problems/n-queens-ii,Backtracking,
MEDIUM,Unique Binary Search Trees,22.2,0.621368793,https://leetcode.com/problems/unique-binary-search-trees,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree",
MEDIUM,Unique Binary Search Trees II,14.1,0.597392944,https://leetcode.com/problems/unique-binary-search-trees-ii,"Dynamic Programming, Backtracking, Tree, Binary Search Tree, Binary Tree",
