Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,
EASY,Find the Array Concatenation Value,71.8,0.707474227,https://leetcode.com/problems/find-the-array-concatenation-value,"Array, Two Pointers, Simulation",
HARD,Count the Number of Incremovable Subarrays II,71.8,0.402211323,https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-ii,"Array, Two Pointers, Binary Search",
MEDIUM,Minimum Length of String After Operations,71.8,0.752395383,https://leetcode.com/problems/minimum-length-of-string-after-operations,"Hash Table, String, Counting",
MEDIUM,Count Vowel Strings in Ranges,71.8,0.679365397,https://leetcode.com/problems/count-vowel-strings-in-ranges,"Array, String, Prefix Sum",
MEDIUM,Find Occurrences of an Element in an Array,71.8,0.728999307,https://leetcode.com/problems/find-occurrences-of-an-element-in-an-array,"Array, Hash Table",
HARD,Maximum Profitable Triplets With Increasing Prices II,71.8,0.454545455,https://leetcode.com/problems/maximum-profitable-triplets-with-increasing-prices-ii,"Array, Binary Indexed Tree, Segment Tree",
MEDIUM,Longest Substring Without Repeating Characters,69.4,0.363267207,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window",
EASY,Longest Common Prefix,69.4,0.448879132,https://leetcode.com/problems/longest-common-prefix,"String, Trie",
EASY,Valid Parentheses,69.4,0.41845164,https://leetcode.com/problems/valid-parentheses,"String, Stack",
EASY,Maximum Units on a Truck,69.4,0.740391467,https://leetcode.com/problems/maximum-units-on-a-truck,"Array, Greedy, Sorting",
MEDIUM,Merge Intervals,66.7,0.488065181,https://leetcode.com/problems/merge-intervals,"Array, Sorting",
EASY,Count Binary Substrings,66.7,0.658276105,https://leetcode.com/problems/count-binary-substrings,"Two Pointers, String",
MEDIUM,Get Equal Substrings Within Budget,66.7,0.586848959,https://leetcode.com/problems/get-equal-substrings-within-budget,"String, Binary Search, Sliding Window, Prefix Sum",
MEDIUM,Minimum Suffix Flips,63.6,0.734761468,https://leetcode.com/problems/minimum-suffix-flips,"String, Greedy",
HARD,Numbers With Repeated Digits,63.6,0.428882486,https://leetcode.com/problems/numbers-with-repeated-digits,"Math, Dynamic Programming",
MEDIUM,Maximum Sum of Distinct Subarrays With Length K,63.6,0.426144545,https://leetcode.com/problems/maximum-sum-of-distinct-subarrays-with-length-k,"Array, Hash Table, Sliding Window",
MEDIUM,Letter Combinations of a Phone Number,63.6,0.630802163,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking",
MEDIUM,Longest Consecutive Sequence,60.1,0.471907117,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find",
EASY,Merge Sorted Array,60.1,0.522568465,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting",
MEDIUM,Lexicographically Smallest String After Substring Operation,60.1,0.325530681,https://leetcode.com/problems/lexicographically-smallest-string-after-substring-operation,"String, Greedy",
MEDIUM,Number of Divisible Substrings,55.9,0.735026221,https://leetcode.com/problems/number-of-divisible-substrings,"Hash Table, String, Counting, Prefix Sum",
EASY,Count Pairs Of Similar Strings,55.9,0.721364664,https://leetcode.com/problems/count-pairs-of-similar-strings,"Array, Hash Table, String, Bit Manipulation, Counting",
MEDIUM,Shortest and Lexicographically Smallest Beautiful String,55.9,0.397314131,https://leetcode.com/problems/shortest-and-lexicographically-smallest-beautiful-string,"String, Sliding Window",
MEDIUM,Longest Palindromic Substring,55.9,0.352983466,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming",
MEDIUM,Subarray Product Less Than K,50.8,0.523785237,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum",
MEDIUM,Find The Original Array of Prefix Xor,50.8,0.880603441,https://leetcode.com/problems/find-the-original-array-of-prefix-xor,"Array, Bit Manipulation",
MEDIUM,Validate Binary Search Tree,50.8,0.339804323,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",
MEDIUM,Smallest Missing Non-negative Integer After Operations,50.8,0.395560541,https://leetcode.com/problems/smallest-missing-non-negative-integer-after-operations,"Array, Hash Table, Math, Greedy",
MEDIUM,Product of Array Except Self,50.8,0.673835173,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum",
MEDIUM,Divide Players Into Teams of Equal Skill,50.8,0.689608527,https://leetcode.com/problems/divide-players-into-teams-of-equal-skill,"Array, Hash Table, Two Pointers, Sorting",
HARD,Merge k Sorted Lists,44.3,0.55795291,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",
MEDIUM,Single-Threaded CPU,44.3,0.46097715,https://leetcode.com/problems/single-threaded-cpu,"Array, Sorting, Heap (Priority Queue)",
EASY,Backspace String Compare,44.3,0.493939907,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation",
MEDIUM,Maximum Subarray,44.3,0.517337168,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming",
MEDIUM,Find Minimum in Rotated Sorted Array,44.3,0.521505592,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search",
MEDIUM,Next Permutation,44.3,0.423240338,https://leetcode.com/problems/next-permutation,"Array, Two Pointers",
MEDIUM,Group Anagrams,44.3,0.70336996,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting",
HARD,Trapping Rain Water,44.3,0.642874713,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",
MEDIUM,Number of Operations to Make Network Connected,44.3,0.640807137,https://leetcode.com/problems/number-of-operations-to-make-network-connected,"Depth-First Search, Breadth-First Search, Union Find, Graph",
MEDIUM,Subarray Sum Equals K,44.3,0.449313149,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum",
EASY,Climbing Stairs,44.3,0.533430864,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization",
MEDIUM,Rotate Array,44.3,0.424612441,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers",
EASY,Palindrome Number,44.3,0.586536005,https://leetcode.com/problems/palindrome-number,Math,
MEDIUM,Spiral Matrix,44.3,0.529329348,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation",
MEDIUM,Subsets,44.3,0.802589634,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation",
EASY,Flipping an Image,44.3,0.827753327,https://leetcode.com/problems/flipping-an-image,"Array, Two Pointers, Bit Manipulation, Matrix, Simulation",
MEDIUM,Flip String to Monotone Increasing,44.3,0.616354192,https://leetcode.com/problems/flip-string-to-monotone-increasing,"String, Dynamic Programming",
MEDIUM,Longest Increasing Subsequence,44.3,0.571708622,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming",
HARD,Median of Two Sorted Arrays,44.3,0.4293936,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer",
EASY,Intersection of Two Arrays,44.3,0.760019161,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting",
EASY,Find the Index of the First Occurrence in a String,44.3,0.444635924,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching",
MEDIUM,Generate Parentheses,35.3,0.765298611,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking",
HARD,N-Queens,35.3,0.716691152,https://leetcode.com/problems/n-queens,"Array, Backtracking",
MEDIUM,Rearrange Array to Maximize Prefix Score,35.3,0.413247771,https://leetcode.com/problems/rearrange-array-to-maximize-prefix-score,"Array, Greedy, Sorting, Prefix Sum",
MEDIUM,Minimum Number of Flips to Make the Binary String Alternating,35.3,0.405219919,https://leetcode.com/problems/minimum-number-of-flips-to-make-the-binary-string-alternating,"String, Dynamic Programming, Greedy, Sliding Window",
MEDIUM,Minimum Swaps to Group All 1's Together II,35.3,0.655590403,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together-ii,"Array, Sliding Window",
HARD,Find All Possible Stable Binary Arrays II,35.3,0.271987721,https://leetcode.com/problems/find-all-possible-stable-binary-arrays-ii,"Dynamic Programming, Prefix Sum",
MEDIUM,Find Longest Calls,35.3,0.626954579,https://leetcode.com/problems/find-longest-calls,Database,
EASY,Happy Number,35.3,0.575614135,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers",
MEDIUM,Partition Equal Subset Sum,35.3,0.472005781,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming",
MEDIUM,132 Pattern,35.3,0.338554411,https://leetcode.com/problems/132-pattern,"Array, Binary Search, Stack, Monotonic Stack, Ordered Set",
MEDIUM,Add Two Numbers,35.3,0.454396764,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion",
MEDIUM,Increasing Triplet Subsequence,35.3,0.391728486,https://leetcode.com/problems/increasing-triplet-subsequence,"Array, Greedy",
MEDIUM,Range Product Queries of Powers,35.3,0.415869456,https://leetcode.com/problems/range-product-queries-of-powers,"Array, Bit Manipulation, Prefix Sum",
MEDIUM,Count Number of Teams,35.3,0.70070145,https://leetcode.com/problems/count-number-of-teams,"Array, Dynamic Programming, Binary Indexed Tree, Segment Tree",
MEDIUM,Find the Duplicate Number,35.3,0.623429043,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation",
MEDIUM,Least Number of Unique Integers after K Removals,35.3,0.632602002,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals,"Array, Hash Table, Greedy, Sorting, Counting",
MEDIUM,Task Scheduler,35.3,0.610292664,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting",
MEDIUM,Maximal Square,35.3,0.482278949,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix",
EASY,Majority Element,35.3,0.654976469,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting",
MEDIUM,Minimum Operations to Reduce an Integer to 0,35.3,0.56687781,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,"Dynamic Programming, Greedy, Bit Manipulation",
EASY,Prime In Diagonal,35.3,0.356055451,https://leetcode.com/problems/prime-in-diagonal,"Array, Math, Matrix, Number Theory",
MEDIUM,LRU Cache,35.3,0.444310173,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List",
MEDIUM,Word Break,35.3,0.478752163,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization",
EASY,Degree of an Array,35.3,0.571391946,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table",
EASY,The Employee That Worked on the Longest Task,35.3,0.506438272,https://leetcode.com/problems/the-employee-that-worked-on-the-longest-task,Array,
