Difficulty,Title,Frequency,Acceptance Rate,Link,,Topics
MEDIUM,Zigzag Iterator,26.8,0.651892107,https://leetcode.com/problems/zigzag-iterator,,"Array, Design, Queue, Iterator"
EASY,Flip Game,26.8,0.648537271,https://leetcode.com/problems/flip-game,,String
EASY,Strobogrammatic Number,26.8,0.475979815,https://leetcode.com/problems/strobogrammatic-number,,"Hash Table, Two Pointers, String"
MEDIUM,Paint Fence,25.4,0.474906567,https://leetcode.com/problems/paint-fence,,Dynamic Programming
HARD,Closest Binary Search Tree Value II,25.4,0.599823292,https://leetcode.com/problems/closest-binary-search-tree-value-ii,,"Two Pointers, Stack, Tree, Depth-First Search, Binary Search Tree, Heap (Priority Queue), Binary Tree"
MEDIUM,Basic Calculator II,25.4,0.452573095,https://leetcode.com/problems/basic-calculator-ii,,"Math, String, Stack"
MEDIUM,Longest Substring with At Most Two Distinct Characters,25.4,0.560947178,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters,,"Hash Table, String, Sliding Window"
EASY,Palindrome Permutation,25.4,0.680795692,https://leetcode.com/problems/palindrome-permutation,,"Hash Table, String, Bit Manipulation"
MEDIUM,Flatten 2D Vector,25.4,0.499922642,https://leetcode.com/problems/flatten-2d-vector,,"Array, Two Pointers, Design, Iterator"
MEDIUM,Peeking Iterator,25.4,0.603969287,https://leetcode.com/problems/peeking-iterator,,"Array, Design, Iterator"
MEDIUM,Unique Word Abbreviation,23.9,0.268802995,https://leetcode.com/problems/unique-word-abbreviation,,"Array, Hash Table, String, Design"
MEDIUM,Flip Game II,23.9,0.522048922,https://leetcode.com/problems/flip-game-ii,,"Math, Dynamic Programming, Backtracking, Memoization, Game Theory"
MEDIUM,Spiral Matrix II,22.3,0.729407452,https://leetcode.com/problems/spiral-matrix-ii,,"Array, Matrix, Simulation"
EASY,Binary Tree Postorder Traversal,22.3,0.748775973,https://leetcode.com/problems/binary-tree-postorder-traversal,,"Stack, Tree, Depth-First Search, Binary Tree"
HARD,Scramble String,22.3,0.416724486,https://leetcode.com/problems/scramble-string,,"String, Dynamic Programming"
MEDIUM,Populating Next Right Pointers in Each Node,22.3,0.648402055,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Best Time to Buy and Sell Stock IV,22.3,0.460354404,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,,"Array, Dynamic Programming"
MEDIUM,Bitwise AND of Numbers Range,20.5,0.475947403,https://leetcode.com/problems/bitwise-and-of-numbers-range,,Bit Manipulation
MEDIUM,Insertion Sort List,20.5,0.557802531,https://leetcode.com/problems/insertion-sort-list,,"Linked List, Sorting"
MEDIUM,Combinations,18.5,0.722862527,https://leetcode.com/problems/combinations,,Backtracking
EASY,Minimum Depth of Binary Tree,18.5,0.500202319,https://leetcode.com/problems/minimum-depth-of-binary-tree,,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Word Pattern,18.5,0.428062283,https://leetcode.com/problems/word-pattern,,"Hash Table, String"
MEDIUM,Factorial Trailing Zeroes,18.5,0.444674626,https://leetcode.com/problems/factorial-trailing-zeroes,,Math
EASY,Read N Characters Given Read4,16.2,0.420817209,https://leetcode.com/problems/read-n-characters-given-read4,,"Array, Simulation, Interactive"
MEDIUM,Remove Duplicates from Sorted List II,16.2,0.492636412,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,,"Linked List, Two Pointers"
HARD,Remove Invalid Parentheses,16.2,0.489197173,https://leetcode.com/problems/remove-invalid-parentheses,,"String, Backtracking, Breadth-First Search"
HARD,N-Queens II,13.7,0.760118362,https://leetcode.com/problems/n-queens-ii,,Backtracking
MEDIUM,Rank Scores,10.9,0.645529239,https://leetcode.com/problems/rank-scores,,Database
HARD,Find Minimum in Rotated Sorted Array II,7.7,0.440177873,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii,,"Array, Binary Search"
HARD,Valid Number,7.7,0.211076121,https://leetcode.com/problems/valid-number,,String
MEDIUM,Binary Tree Level Order Traversal II,7.7,0.653829088,https://leetcode.com/problems/binary-tree-level-order-traversal-ii,,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Gray Code,7.7,0.611679278,https://leetcode.com/problems/gray-code,,"Math, Backtracking, Bit Manipulation"
MEDIUM,Find the Celebrity,7.7,0.481909808,https://leetcode.com/problems/find-the-celebrity,,"Two Pointers, Graph, Interactive"
MEDIUM,Range Sum Query - Mutable,5,0.415589337,https://leetcode.com/problems/range-sum-query-mutable,,"Array, Design, Binary Indexed Tree, Segment Tree"
MEDIUM,Paint House,5,0.634234087,https://leetcode.com/problems/paint-house,,"Array, Dynamic Programming"
